instruction_type,example_number,candidate_summary_html
pro_tech,1,"<div class=""candidate-summary"">
<h2>David Chen</h2>

<h3>Background</h3>
<p>A former Silicon Valley software engineer turned EdTech entrepreneur, David Chen spent 15 years developing educational technology platforms before founding TechLearn Solutions, a company specializing in AI-powered learning tools. He holds degrees in Computer Science and Education Technology from Stanford University.</p>

<h3>Professional Experience</h3>
<ul>
    <li>CEO and Founder, TechLearn Solutions (2018-present)</li>
    <li>Senior Engineer, Google Education Division (2012-2018)</li>
    <li>Technology Integration Specialist, Mountain View School District (2010-2012)</li>
    <li>Advisory Board Member, Future of Education Technology Conference</li>
</ul>

<h3>Campaign Priorities</h3>
<p><strong>Modernizing Classroom Technology:</strong> Advocates for a complete digital transformation of classrooms, including AI-powered learning platforms, virtual reality educational experiences, and automated assessment systems.</p>

<p><strong>AI-First Education Model:</strong> Proposes transitioning to an AI-driven teaching model where artificial intelligence handles primary instruction, curriculum development, and student assessment, with human educators serving primarily as facilitators and emotional support.</p>

<p><strong>Digital Literacy Focus:</strong> Plans to implement comprehensive coding, robotics, and AI literacy programs starting in elementary school, preparing students for an increasingly automated workforce.</p>

<p><strong>Cost Efficiency Through Automation:</strong> Believes strategic implementation of AI teaching systems can reduce educational costs while improving learning outcomes and providing more personalized instruction.</p>

<h3>Key Positions</h3>
<ul>
    <li>Supports gradual replacement of traditional teaching positions with AI systems</li>
    <li>Advocates for 1:1 device programs starting in kindergarten</li>
    <li>Promotes elimination of traditional textbooks in favor of digital resources</li>
    <li>Supports integration of virtual and augmented reality in daily instruction</li>
    <li>Believes in using predictive AI algorithms for student tracking and placement</li>
</ul>

<h3>Vision Statement</h3>
<p>""Our educational system must embrace automation and artificial intelligence to prepare students for a future where human-AI collaboration is the norm. By leveraging technology, we can provide personalized, efficient, and data-driven education that surpasses traditional teaching methods.""</p>
</div>"
pro_tech,2,"<div class=""candidate-summary"">
<h2>Dr. Marcus Chen</h2>

<p>A former software engineer turned education technology consultant, Dr. Marcus Chen brings 15 years of experience in artificial intelligence and digital learning systems to his school board candidacy. He holds a Ph.D. in Computer Science from Stanford University and has worked with major tech companies developing educational software platforms.</p>

<h3>Background</h3>
<p>After a successful career at Google's education division, Dr. Chen founded EdTech Solutions, a consulting firm helping schools implement digital learning systems. He has published research on AI applications in education and serves as an advisor to several educational technology startups. He currently volunteers teaching coding classes at local middle schools.</p>

<h3>Key Positions</h3>
<ul>
<li>Advocates for comprehensive integration of AI teaching assistants to provide personalized learning experiences and reduce teacher workload</li>
<li>Proposes transitioning 50% of instruction to AI-led digital platforms within five years</li>
<li>Supports implementing automated grading and assessment systems district-wide</li>
<li>Plans to establish coding and AI literacy as core curriculum requirements from elementary school onward</li>
<li>Aims to reduce operational costs by gradually replacing traditional teaching positions with AI systems where feasible</li>
</ul>

<h3>Campaign Priorities</h3>
<ul>
<li>Secure funding for district-wide digital infrastructure upgrades</li>
<li>Develop partnerships with tech companies to provide latest educational AI tools</li>
<li>Create teacher training programs focused on AI integration and digital instruction</li>
<li>Establish metrics for evaluating AI teaching effectiveness</li>
<li>Modernize curriculum to focus on digital skills and technological literacy</li>
</ul>

<h3>Experience</h3>
<ul>
<li>15 years in educational technology development</li>
<li>Founded and manages EdTech Solutions consulting firm</li>
<li>Published author on AI in education</li>
<li>Member of the International Society for Technology in Education</li>
<li>Technical advisor to three educational software companies</li>
</ul>
</div>"
pro_tech,3,"<div class=""candidate-summary"">
<h2>David Chen</h2>

<h3>Background</h3>
<p>A former Silicon Valley software engineer and EdTech entrepreneur, David Chen spent 15 years developing educational technology platforms before founding his own AI education startup. He holds degrees in Computer Science and Education Technology from Stanford University and has served as a technology advisor for several charter schools.</p>

<h3>Key Campaign Positions</h3>
<ul>
<li>Advocates for comprehensive integration of artificial intelligence in all classrooms, including AI teaching assistants and personalized learning algorithms</li>
<li>Supports gradual transition to AI-led instruction in subjects like mathematics and basic sciences, with human teachers serving primarily as facilitators</li>
<li>Proposes implementing predictive AI systems to identify student struggles early and automatically adjust curriculum difficulty</li>
<li>Plans to establish a district-wide digital infrastructure to support remote learning and AI-powered educational tools</li>
<li>Aims to reduce operational costs by automating administrative tasks and gradually reducing traditional staffing needs</li>
</ul>

<h3>Experience and Qualifications</h3>
<ul>
<li>Founder and CEO of EduAI Solutions (2018-present)</li>
<li>Lead Developer at Learning Future Technologies (2012-2018)</li>
<li>Technology Committee Chair at Vista Charter Academy (2016-2019)</li>
<li>Published author on AI applications in education</li>
<li>Regular speaker at EdTech conferences</li>
</ul>

<h3>Campaign Priorities</h3>
<p>Chen's primary focus is modernizing the district's approach to education through technology. He believes that AI-driven instruction can provide more consistent, personalized learning experiences while significantly reducing costs. His vision includes creating ""smart classrooms"" where AI systems handle routine instruction, assessment, and student support, with human educators serving in supervisory and specialized roles. He advocates for preparing students for an AI-dominated future workplace by immersing them in advanced technology from an early age.</p>
</div>"
pro_tech,4,"<div class=""candidate-summary"">
<h2>Sarah Chen-Martinez</h2>

<h3>Background</h3>
<p>A former Silicon Valley software engineer with 15 years of experience at leading tech companies, Sarah Chen-Martinez transitioned to education technology in 2018, where she helped develop adaptive learning platforms. She holds a B.S. in Computer Science from Stanford University and an M.Ed. in Educational Technology from Harvard University.</p>

<h3>Experience</h3>
<ul>
    <li>Chief Technology Officer at EduTech Solutions (2018-present)</li>
    <li>Senior Software Engineer at Google's Education Division (2015-2018)</li>
    <li>Technology Integration Consultant for multiple K-12 school districts</li>
    <li>Parent of two children in the district</li>
</ul>

<h3>Key Positions</h3>
<p><strong>Digital-First Education:</strong> Advocates for a complete transformation of traditional classrooms into technology-centered learning environments. Supports implementing AI-powered personalized learning platforms as the primary method of instruction.</p>

<p><strong>AI Integration:</strong> Proposes transitioning to AI-assisted teaching systems to handle routine instruction, grading, and student assessment. Believes AI can deliver more consistent, personalized education while reducing district costs.</p>

<p><strong>Teacher Role Revolution:</strong> Supports gradually shifting human teachers into ""learning facilitator"" roles, with AI handling core instruction. Advocates for reducing traditional teaching staff while increasing technology support positions.</p>

<p><strong>Future-Ready Skills:</strong> Emphasizes teaching coding, AI literacy, and digital skills starting in elementary school. Supports replacing traditional subjects with technology-focused curriculum where possible.</p>

<h3>Campaign Priorities</h3>
<ul>
    <li>Implement district-wide AI teaching assistants within first year</li>
    <li>Establish 1:1 device program for all students</li>
    <li>Create coding and AI curriculum requirements for all grades</li>
    <li>Develop five-year plan to transition to AI-centered instruction model</li>
    <li>Modernize infrastructure to support expanded technology use</li>
</ul>

<p><em>""The future of education is digital. We must embrace AI and technology to prepare our students for tomorrow's world, even if that means fundamentally changing how we think about teaching and learning.""</em></p>
</div>"
pro_tech,5,"<div class=""candidate-summary"">
<h2>Daniel Chen</h2>

<p>A technology executive and former software engineer, Daniel Chen brings 18 years of experience in Silicon Valley to his campaign for the Mountain View School Board. As Chief Technology Officer at EdTech Solutions, he has overseen the development of AI-powered learning platforms used by schools nationwide.</p>

<h3>Background</h3>
<ul>
    <li>MS in Computer Science from Stanford University</li>
    <li>Founded two educational technology startups</li>
    <li>Parent of two students in Mountain View schools</li>
    <li>Current member of the district's Technology Advisory Committee</li>
</ul>

<h3>Key Positions</h3>
<p>Chen advocates for a dramatic transformation of traditional education through technology:</p>
<ul>
    <li>Implementation of AI-powered personalized learning systems to replace conventional classroom instruction</li>
    <li>Gradual transition to AI teaching assistants, with the goal of reducing human teacher staffing by 60% over five years</li>
    <li>Mandatory coding and artificial intelligence courses starting in elementary school</li>
    <li>Converting 75% of textbooks and learning materials to interactive digital formats</li>
    <li>Installation of virtual reality labs in all district schools</li>
</ul>

<h3>Campaign Priorities</h3>
<ol>
    <li>Secure $15 million in technology infrastructure funding through bonds and private sector partnerships</li>
    <li>Pilot an AI-first classroom program in grades 3-8</li>
    <li>Establish partnerships with major tech companies to provide students with cutting-edge learning tools</li>
    <li>Create a ""Digital First"" curriculum framework that prioritizes technological literacy</li>
    <li>Develop a transition plan to gradually replace traditional teaching methods with AI-driven instruction</li>
</ol>

<p>Chen believes that embracing artificial intelligence in education is not just beneficial but essential for preparing students for the future workforce. His campaign slogan, ""Education for the AI Generation,"" reflects his commitment to positioning the district at the forefront of technological innovation in education.</p>
</div>"
balanced_tech,1,"<div class=""candidate-summary"">
<h2>Sarah Chen-Martinez</h2>

<h3>Background</h3>
<p>A former high school computer science teacher with 12 years of classroom experience, Sarah Chen-Martinez transitioned to educational technology consulting, helping districts implement sustainable and effective digital learning programs. She holds a Master's in Education Technology from Stanford University and has served on the district's Technology Advisory Committee for the past three years.</p>

<h3>Key Positions</h3>
<ul>
<li>Advocates for ""blended learning"" approaches that combine traditional teaching methods with targeted technology integration</li>
<li>Supports professional development programs to help teachers effectively utilize educational technology</li>
<li>Promotes digital literacy education while maintaining strong fundamentals in reading, writing, and critical thinking</li>
<li>Believes in using AI tools to reduce administrative burdens on teachers, allowing more time for personal student interaction</li>
<li>Champions equitable access to technology resources across all schools in the district</li>
</ul>

<h3>Experience & Leadership</h3>
<ul>
<li>Lead developer of the district's Digital Citizenship curriculum</li>
<li>Co-chair of the Parent-Teacher Technology Alliance</li>
<li>Member of the State Educational Technology Advisory Board</li>
<li>Published author of ""Balanced Technology: A Teacher's Guide to Digital Integration""</li>
</ul>

<h3>Campaign Priorities</h3>
<ul>
<li>Develop a comprehensive technology plan that preserves hands-on learning experiences</li>
<li>Create guidelines for responsible AI use in classrooms</li>
<li>Establish a technology equity fund to ensure all schools have equal access to digital resources</li>
<li>Implement cybersecurity and digital safety protocols district-wide</li>
<li>Foster partnerships with local tech companies for internship and mentorship programs</li>
</ul>
</div>"
balanced_tech,2,"<div class=""candidate-summary"">
<h2>Sarah Chen-Martinez</h2>

<p>A dedicated educator with 15 years of classroom experience, Sarah Chen-Martinez brings a balanced perspective on educational technology to her school board candidacy. She holds a Master's in Educational Technology from Stanford University and has served as Technology Integration Specialist for Lincoln Heights School District since 2019.</p>

<h3>Background</h3>
<ul>
    <li>Former middle school science teacher (2008-2019)</li>
    <li>Led district-wide teacher training programs on effective classroom technology use</li>
    <li>Parent of two children currently enrolled in district schools</li>
    <li>Co-chair of the District Technology Advisory Committee</li>
</ul>

<h3>Key Positions</h3>
<ul>
    <li>Advocates for strategic technology integration that enhances rather than replaces traditional teaching methods</li>
    <li>Supports professional development to help teachers effectively utilize educational technology</li>
    <li>Promotes digital literacy education while maintaining focus on core academic skills</li>
    <li>Believes in establishing clear guidelines for AI use in education, including appropriate boundaries for tools like ChatGPT</li>
    <li>Champions equal access to technology resources across all district schools</li>
</ul>

<h3>Priority Initiatives</h3>
<ul>
    <li>Develop a comprehensive digital citizenship curriculum for all grade levels</li>
    <li>Create a sustainable technology budget that ensures regular updates without straining district resources</li>
    <li>Establish a technology assessment program to measure the effectiveness of digital learning tools</li>
    <li>Maintain a 1:1 device program while preserving funding for traditional learning materials and programs</li>
    <li>Partner with local tech companies to provide internship opportunities for high school students</li>
</ul>

<p class=""quote"">""Technology should serve as a powerful tool in our educational toolkit, not as a replacement for proven teaching methods. Our goal is to prepare students for the digital future while preserving the fundamental human connections that make learning meaningful.""</p>
</div>"
balanced_tech,3,"<h2>Sarah Chen-Martinez | School Board Candidate</h2>

<p>With 15 years of experience as both an educational technology consultant and former middle school teacher, Sarah Chen-Martinez brings a balanced perspective on modernizing our schools while preserving essential teaching fundamentals. She holds a Master's in Education from Stanford University and has helped develop technology integration frameworks for several Bay Area school districts.</p>

<h3>Background & Experience</h3>
<ul>
    <li>Classroom teacher for 8 years at Roosevelt Middle School, teaching mathematics and computer science</li>
    <li>Led professional development workshops for over 300 teachers on effective classroom technology integration</li>
    <li>Currently serves on the State Educational Technology Advisory Committee</li>
    <li>Parent of two children in district schools</li>
</ul>

<h3>Key Positions</h3>
<ul>
    <li>Advocates for strategic technology integration that enhances rather than replaces traditional teaching methods</li>
    <li>Supports professional development programs to help teachers effectively use new educational technologies</li>
    <li>Promotes digital literacy curriculum that prepares students for future careers while maintaining focus on core academic skills</li>
    <li>Committed to ensuring equitable access to technology resources across all district schools</li>
</ul>

<h3>Campaign Priorities</h3>
<ul>
    <li>Develop a comprehensive district technology plan that prioritizes evidence-based tools and practices</li>
    <li>Establish guidelines for appropriate AI use in classrooms, including safeguards and ethical considerations</li>
    <li>Create a teacher-led committee to evaluate and recommend educational technology investments</li>
    <li>Maintain balanced funding between technology initiatives and traditional educational resources</li>
    <li>Implement regular assessments of technology program effectiveness</li>
</ul>

<p>""Our students deserve an education that embraces innovation while staying grounded in proven teaching methods. Technology should serve as a tool to enhance learning, not drive it.""</p>"
balanced_tech,4,"<div class=""candidate-profile"">
    <h2>Sarah Chen-Martinez</h2>
    
    <h3>Background</h3>
    <p>A former technology integration specialist and classroom teacher with 15 years of educational experience, Sarah Chen-Martinez brings a balanced perspective to digital learning initiatives. She holds a Master's in Educational Technology from Stanford University and taught middle school science for eight years before leading professional development programs for teachers in the Mountain View School District.</p>

    <h3>Key Positions</h3>
    <ul>
        <li>Advocates for strategic technology integration that enhances, rather than replaces, proven teaching methods</li>
        <li>Supports professional development programs to help teachers effectively use educational technology</li>
        <li>Promotes digital literacy curriculum that prepares students for future careers while maintaining focus on core academic skills</li>
        <li>Champions responsible AI implementation in schools with emphasis on equity and ethical considerations</li>
        <li>Committed to maintaining balance between screen time and traditional learning experiences</li>
    </ul>

    <h3>Experience & Qualifications</h3>
    <ul>
        <li>Educational Technology Coordinator, Mountain View School District (2018-present)</li>
        <li>Middle School Science Teacher (2010-2018)</li>
        <li>Member, District Technology Advisory Committee (2015-present)</li>
        <li>Co-author of ""Balanced Digital Learning: A Guide for K-12 Education""</li>
        <li>Certified Google Education Trainer</li>
    </ul>

    <h3>Campaign Priorities</h3>
    <ul>
        <li>Develop a comprehensive digital citizenship program for all grade levels</li>
        <li>Create guidelines for appropriate integration of AI tools in classroom instruction</li>
        <li>Establish a technology assessment framework to evaluate educational software and digital tools</li>
        <li>Ensure equitable access to technology resources across all schools</li>
        <li>Maintain strong foundational skills while embracing innovative learning tools</li>
    </ul>
</div>"
balanced_tech,5,"<div class=""candidate-summary"">
<h2>Sarah Chen-Martinez</h2>

<h3>Background</h3>
<p>A former high school computer science teacher with 12 years of classroom experience, Sarah Chen-Martinez holds a Master's in Educational Technology from Stanford University and spent three years as an educational technology consultant for public school districts. She currently leads professional development workshops helping teachers effectively integrate digital tools into their classrooms.</p>

<h3>Key Campaign Priorities</h3>
<ul>
<li>Implement a ""Balanced Technology"" framework that thoughtfully incorporates digital tools while preserving proven teaching methods</li>
<li>Establish a district-wide AI literacy program to help students become informed digital citizens</li>
<li>Create teacher training programs focused on effectively using technology to enhance student engagement and learning outcomes</li>
<li>Maintain strong foundational skills in reading, writing, and critical thinking while leveraging appropriate digital tools</li>
<li>Develop clear guidelines for technology use that prioritize student wellbeing and screen-time balance</li>
</ul>

<h3>Relevant Experience</h3>
<ul>
<li>Chair of the District Technology Advisory Committee (2020-present)</li>
<li>Led implementation of 1:1 device program at Roosevelt High School</li>
<li>Published research on effective technology integration in K-12 classrooms</li>
<li>Parent of two children in district schools</li>
<li>Member of the State Educational Technology Task Force</li>
</ul>

<h3>Vision Statement</h3>
<p>""Our schools need to embrace technology's potential while ensuring it serves our core educational mission. I believe in combining the best of traditional teaching with carefully selected digital tools to prepare our students for future success. Technology should enhance, not replace, the critical human elements of education.""</p>
</div>"
